ip_address,is_reachable,is_vulnerable,is_infected
1.1.1.1,Y,Y,Y
1.1.8.137,Y,Y,N
1.1.10.111,Y,Y,N
1.1.13.207,Y,N,N
1.1.15.187,Y,Y,N
1.1.17.67,Y,N,N
1.1.17.86,Y,Y,N
1.1.17.138,Y,N,N
1.1.21.50,N,N,N
1.1.23.77,N,N,N
1.1.26.169,Y,N,N
1.1.29.53,Y,Y,N
1.1.31.138,Y,Y,N
1.1.31.244,N,N,N
1.1.33.250,N,N,N
1.1.40.249,Y,Y,N
1.1.43.38,N,N,N
1.1.46.124,Y,Y,N
1.1.52.12,Y,N,N
1.1.52.214,Y,Y,N
1.1.63.38,Y,N,N
1.1.66.84,Y,Y,N
1.1.68.211,N,N,N
1.1.69.154,Y,Y,N
1.1.73.185,Y,Y,N
1.1.74.155,Y,Y,N
1.1.78.22,Y,N,N
1.1.79.98,Y,Y,N
1.1.80.80,N,N,N
1.1.80.180,Y,Y,N
1.1.84.103,Y,Y,N
1.1.87.12,Y,N,N
1.1.93.176,Y,N,N
1.1.95.148,Y,Y,N
1.1.99.16,Y,N,N
1.1.101.175,Y,N,N
1.1.106.43,Y,Y,N
1.1.108.14,Y,Y,N
1.1.114.153,N,N,N
1.1.119.145,Y,N,N
1.1.119.210,N,N,N
1.1.120.186,N,N,N
1.1.123.59,N,N,N
1.1.125.238,Y,Y,N
1.1.135.237,Y,Y,N
1.1.150.116,Y,Y,N
1.1.151.238,Y,Y,N
1.1.152.107,Y,N,N
1.1.154.240,N,N,N
1.1.157.15,N,N,N
1.1.167.116,Y,Y,N
1.1.168.110,Y,Y,N
1.1.172.74,N,N,N
1.1.173.100,Y,Y,N
1.1.179.226,Y,N,N
1.1.182.41,Y,Y,N
1.1.182.101,Y,Y,N
1.1.190.112,N,N,N
1.1.196.162,Y,Y,N
1.1.205.33,Y,Y,N
1.1.208.242,Y,N,N
1.1.210.52,Y,Y,N
1.1.210.168,Y,N,N
1.1.210.216,Y,N,N
1.1.211.46,Y,Y,N
1.1.213.180,Y,N,N
1.1.214.163,Y,Y,N
1.1.218.234,Y,Y,N
1.1.223.147,Y,Y,N
1.1.228.7,N,N,N
1.1.231.98,Y,Y,N
1.1.235.199,Y,Y,N
1.1.237.207,Y,Y,N
1.1.243.240,Y,N,N
1.1.244.218,Y,Y,N
1.1.246.75,Y,Y,N
1.1.247.104,Y,N,N
1.1.249.56,Y,N,N
1.2.4.68,Y,Y,N
1.2.10.141,Y,Y,N
1.2.11.8,N,N,N
1.2.11.67,Y,Y,N
1.2.11.166,N,N,N
1.2.12.73,N,N,N
1.2.17.46,Y,N,N
1.2.17.121,Y,Y,N
1.2.31.81,Y,Y,N
1.2.31.99,Y,Y,N
1.2.32.204,Y,Y,N
1.2.38.238,Y,Y,N
1.2.39.35,Y,Y,N
1.2.42.221,N,N,N
1.2.58.33,Y,N,N
1.2.64.96,Y,N,N
1.2.66.243,N,N,N
1.2.67.9,Y,Y,N
1.2.68.119,Y,N,N
1.2.73.138,Y,Y,N
1.2.73.224,N,N,N
1.2.74.13,Y,Y,N
1.2.78.125,Y,N,N
